iter	Passed	Remaining
0	8	8077
1	14	7156
2	20	6660
3	25	6301
4	32	6376
5	38	6301
6	44	6268
7	50	6258
8	57	6307
9	64	6432
10	70	6353
11	78	6458
12	86	6529
13	111	7846
14	118	7810
15	124	7657
16	130	7548
17	137	7474
18	142	7366
19	148	7270
20	155	7251
21	161	7165
22	166	7067
23	174	7078
24	181	7095
25	190	7146
26	197	7106
27	204	7083
28	212	7127
29	222	7197
30	228	7155
31	236	7139
32	243	7129
33	250	7120
34	257	7089
35	263	7064
36	270	7038
37	275	6978
38	280	6919
39	286	6865
40	291	6808
41	295	6746
42	300	6696
43	305	6645
44	313	6649
45	319	6621
46	325	6596
47	330	6559
48	337	6549
49	344	6548
50	350	6523
51	355	6476
52	359	6430
53	364	6384
54	370	6358
55	374	6311
56	378	6264
57	383	6224
58	387	6178
59	391	6141
60	396	6102
61	401	6075
62	406	6042
63	410	6008
64	415	5979
65	420	5947
66	424	5917
67	431	5917
68	436	5894
69	442	5876
70	447	5849
71	451	5819
72	455	5789
73	461	5768
74	465	5738
75	470	5725
76	481	5771
77	497	5875
78	508	5925
79	514	5916
80	521	5920
81	529	5927
82	538	5951
83	545	5944
84	552	5949
85	559	5941
86	568	5963
87	574	5952
88	582	5957
89	589	5964
90	595	5951
91	601	5940
92	607	5927
93	613	5912
94	618	5896
95	625	5885
96	631	5874
97	637	5865
98	643	5857
99	649	5842
100	655	5834
101	660	5818
102	667	5810
103	673	5803
104	681	5811
105	688	5803
106	695	5803
107	704	5816
108	710	5806
109	717	5802
110	724	5805
111	731	5802
112	737	5792
113	744	5785
114	750	5774
115	759	5787
116	766	5787
117	773	5778
118	778	5764
119	785	5760
120	791	5747
121	800	5760
122	806	5747
123	811	5731
124	821	5750
125	829	5751
126	835	5745
127	843	5744
128	849	5733
129	856	5730
130	864	5731
131	870	5726
132	877	5721
133	886	5727
134	898	5756
135	906	5758
136	914	5763
137	921	5754
138	930	5764
139	937	5759
140	944	5756
141	951	5748
142	963	5771
143	975	5801
144	988	5828
145	999	5845
146	1008	5851
147	1026	5907
148	1054	6022
149	1070	6064
150	1078	6066
151	1089	6076
152	1099	6085
153	1111	6103
154	1127	6144
155	1134	6136
156	1140	6126
157	1145	6106
158	1151	6089
159	1156	6069
160	1160	6049
161	1166	6032
162	1171	6013
163	1176	5997
164	1182	5986
165	1188	5970
166	1193	5952
167	1197	5932
168	1202	5910
169	1207	5894
170	1212	5880
171	1218	5863
172	1222	5844
173	1226	5824
174	1231	5804
175	1239	5804
176	1244	5786
177	1249	5768
178	1253	5749
179	1258	5732
180	1262	5714
181	1267	5698
182	1272	5682
183	1280	5678
184	1284	5659
185	1289	5642
186	1294	5627
187	1298	5609
