iter	Passed	Remaining
0	109	109261
1	115	57674
2	122	40590
3	128	32069
4	135	26900
5	141	23384
6	147	20925
7	158	19662
8	164	18150
9	171	16953
10	177	15938
11	184	15150
12	190	14432
13	196	13829
14	202	13266
15	208	12819
16	214	12401
17	220	12031
18	226	11695
19	239	11733
20	245	11457
21	251	11189
22	258	11001
23	265	10788
24	271	10574
25	276	10371
26	282	10189
27	288	10025
28	295	9884
29	300	9730
30	306	9587
31	312	9457
32	318	9337
33	324	9221
34	330	9110
35	336	9014
36	343	8953
37	349	8856
38	357	8819
39	364	8739
40	370	8673
41	376	8596
42	382	8522
43	389	8457
44	395	8398
45	403	8367
46	410	8333
47	418	8293
48	424	8238
49	432	8209
50	438	8163
51	445	8121
52	452	8080
53	458	8032
54	464	7985
55	471	7944
56	477	7905
57	483	7859
58	489	7813
59	495	7769
60	502	7728
61	507	7684
62	514	7645
63	519	7604
64	526	7568
65	533	7554
66	539	7517
67	545	7481
68	552	7450
69	558	7417
70	564	7382
71	569	7345
72	576	7318
73	582	7290
74	588	7260
75	594	7225
76	600	7195
77	606	7163
78	611	7133
79	617	7105
80	623	7079
81	630	7053
82	635	7025
83	642	7004
84	648	6981
85	654	6957
86	660	6928
87	666	6907
88	672	6880
89	677	6853
90	683	6829
91	689	6804
92	695	6779
93	700	6755
94	706	6733
95	712	6713
96	718	6689
97	725	6675
98	732	6662
99	738	6645
100	744	6625
101	750	6611
102	756	6592
103	766	6605
104	773	6590
105	780	6580
106	787	6569
107	793	6550
108	799	6533
109	805	6517
110	812	6503
111	817	6483
112	823	6466
113	830	6451
114	835	6433
115	842	6422
116	848	6405
117	854	6387
118	862	6384
119	869	6373
120	875	6357
121	881	6345
122	888	6336
123	896	6334
124	904	6329
125	910	6315
126	916	6299
127	922	6286
128	930	6279
129	937	6272
130	943	6261
131	950	6251
132	956	6236
133	963	6224
134	969	6212
135	975	6199
136	981	6183
137	988	6171
138	994	6160
139	1000	6146
140	1006	6132
141	1013	6121
142	1019	6109
143	1026	6100
144	1031	6083
145	1037	6071
146	1043	6056
147	1049	6042
148	1055	6030
149	1063	6025
150	1071	6025
151	1079	6025
152	1127	6239
153	1135	6236
154	1143	6236
155	1151	6229
156	1159	6225
157	1167	6220
158	1174	6211
159	1181	6202
160	1189	6200
161	1196	6191
162	1204	6186
163	1212	6183
164	1221	6179
165	1228	6174
166	1236	6168
167	1243	6160
168	1250	6151
169	1258	6142
170	1265	6137
171	1274	6134
172	1281	6124
173	1287	6114
174	1295	6109
175	1302	6099
176	1309	6089
177	1316	6077
178	1323	6068
179	1329	6056
180	1336	6047
181	1343	6036
182	1349	6022
183	1355	6012
184	1361	5999
185	1368	5987
186	1374	5974
187	1380	5963
188	1386	5950
189	1395	5949
190	1401	5937
191	1407	5923
192	1414	5913
193	1420	5901
194	1427	5891
195	1433	5880
196	1439	5867
197	1446	5857
198	1451	5844
199	1457	5831
200	1463	5817
201	1469	5806
202	1476	5796
203	1482	5782
204	1487	5769
205	1493	5758
206	1499	5745
207	1505	5733
208	1511	5719
209	1517	5710
210	1524	5699
211	1530	5688
212	1540	5691
213	1546	5678
214	1552	5667
215	1558	5656
216	1564	5643
217	1571	5636
218	1577	5625
219	1583	5614
220	1589	5603
221	1595	5592
222	1601	5580
223	1608	5570
224	1614	5561
225	1621	5552
226	1626	5539
227	1632	5527
228	1638	5517
229	1644	5506
230	1650	5495
231	1656	5484
232	1662	5473
233	1668	5462
234	1674	5452
235	1681	5442
236	1686	5430
237	1692	5419
238	1699	5409
239	1706	5404
240	1713	5397
241	1721	5393
242	1728	5384
243	1734	5373
244	1740	5363
245	1746	5354
246	1752	5343
247	1759	5335
248	1766	5328
249	1772	5317
250	1778	5307
251	1784	5298
252	1790	5287
253	1797	5279
254	1803	5269
255	1809	5258
256	1815	5247
257	1821	5238
258	1833	5244
259	1839	5236
260	1846	5228
261	1852	5217
262	1858	5208
263	1864	5197
264	1870	5187
265	1876	5177
266	1881	5166
267	1888	5158
268	1896	5153
269	1902	5143
270	1909	5135
271	1920	5139
272	1927	5132
273	1933	5121
274	1939	5112
275	1945	5102
276	1950	5091
277	1956	5082
278	1962	5072
279	1968	5062
280	1974	5053
281	1980	5043
282	1988	5038
283	1994	5029
284	2001	5020
285	2007	5012
286	2014	5004
287	2021	4997
288	2028	4990
289	2034	4981
290	2041	4973
291	2047	4964
292	2053	4956
293	2060	4947
294	2065	4937
295	2071	4927
296	2078	4919
297	2084	4909
298	2090	4900
299	2095	4890
300	2102	4882
301	2108	4873
302	2114	4865
303	2120	4855
304	2127	4847
305	2138	4851
306	2145	4842
307	2151	4834
308	2157	4824
309	2163	4815
310	2169	4806
311	2175	4798
312	2181	4788
313	2187	4779
314	2193	4770
315	2200	4762
316	2206	4754
317	2212	4745
318	2219	4738
319	2226	4730
320	2232	4721
321	2237	4712
322	2243	4702
323	2249	4693
324	2255	4684
325	2266	4685
326	2272	4676
327	2279	4670
328	2285	4660
329	2291	4652
330	2297	4643
331	2303	4635
332	2309	4626
333	2316	4618
334	2322	4609
335	2328	4601
336	2334	4592
337	2341	4585
338	2347	4576
339	2355	4572
340	2361	4563
341	2367	4554
342	2374	4548
343	2382	4542
344	2389	4536
345	2395	4528
346	2402	4521
347	2409	4514
348	2415	4506
349	2422	4498
350	2428	4490
351	2434	4482
352	2441	4474
353	2447	4466
354	2453	4458
355	2459	4449
356	2465	4440
357	2471	4432
358	2477	4423
359	2484	4416
360	2490	4408
361	2496	4399
362	2502	4391
363	2508	4382
364	2514	4374
365	2520	4366
366	2526	4357
367	2532	4348
368	2538	4340
369	2544	4331
370	2551	4325
371	2557	4317
372	2563	4308
373	2569	4300
374	2575	4292
375	2581	4284
376	2587	4276
377	2593	4267
378	2599	4258
379	2605	4250
380	2611	4242
381	2616	4233
382	2623	4226
383	2629	4218
384	2636	4212
385	2642	4203
386	2648	4195
387	2656	4189
388	2662	4182
389	2668	4173
390	2674	4165
391	2680	4158
392	2688	4152
393	2698	4150
394	2706	4145
395	2716	4142
396	2724	4138
397	2760	4175
398	2772	4175
399	2779	4168
400	2786	4162
401	2793	4155
402	2800	4148
403	2808	4142
404	2814	4135
405	2821	4128
406	2828	4120
407	2835	4113
408	2841	4106
409	2849	4100
410	2855	4092
411	2863	4086
412	2870	4079
413	2877	4072
414	2884	4066
415	2892	4060
416	2899	4054
417	2906	4047
418	2913	4039
419	2921	4033
420	2928	4027
421	2936	4021
422	2943	4015
423	2950	4008
424	2957	4000
425	2964	3994
426	2971	3986
427	2978	3980
428	2985	3974
429	2993	3968
430	3000	3961
431	3008	3955
432	3015	3948
433	3022	3941
434	3028	3933
435	3035	3927
436	3043	3921
437	3050	3914
438	3057	3907
439	3064	3900
440	3071	3893
441	3077	3885
442	3085	3879
443	3091	3871
444	3098	3863
445	3104	3856
446	3111	3849
447	3117	3841
448	3124	3833
449	3133	3829
450	3139	3822
451	3146	3815
452	3152	3807
453	3158	3799
454	3165	3791
455	3171	3783
456	3178	3776
457	3184	3768
458	3190	3760
459	3196	3752
460	3203	3745
461	3209	3737
462	3216	3730
463	3222	3722
464	3228	3714
465	3234	3706
466	3240	3698
467	3246	3690
468	3252	3682
469	3258	3674
470	3264	3666
471	3270	3658
472	3276	3650
473	3282	3642
474	3288	3635
475	3296	3628
476	3303	3622
477	3309	3614
478	3318	3609
479	3324	3601
480	3330	3594
481	3336	3585
482	3342	3578
483	3348	3570
484	3355	3562
485	3360	3554
486	3368	3548
487	3374	3540
488	3381	3533
489	3387	3525
490	3393	3517
491	3399	3509
492	3405	3502
493	3411	3494
494	3417	3486
495	3423	3478
496	3429	3471
497	3435	3463
498	3441	3455
499	3447	3447
500	3453	3439
501	3459	3431
502	3465	3424
503	3471	3416
504	3477	3408
505	3483	3400
506	3489	3393
507	3505	3394
508	3511	3387
509	3517	3379
510	3523	3371
511	3529	3363
512	3534	3355
513	3542	3349
514	3547	3341
515	3553	3333
516	3559	3325
517	3566	3318
518	3571	3310
519	3578	3302
520	3584	3295
521	3590	3287
522	3596	3279
523	3603	3273
524	3609	3265
525	3615	3258
526	3621	3250
527	3627	3242
528	3633	3235
529	3639	3227
530	3645	3219
531	3651	3212
532	3657	3204
533	3662	3196
534	3669	3189
535	3675	3181
536	3681	3174
537	3687	3166
538	3699	3164
539	3705	3156
540	3711	3148
541	3717	3141
542	3723	3133
543	3729	3126
544	3735	3118
545	3742	3111
546	3748	3104
547	3755	3097
548	3761	3090
549	3767	3082
550	3773	3075
551	3779	3067
552	3785	3060
553	3792	3053
554	3806	3052
555	3813	3045
556	3819	3037
557	3826	3030
558	3832	3023
559	3839	3016
560	3846	3010
561	3854	3004
562	3862	2997
563	3870	2992
564	3879	2986
565	3886	2980
566	3894	2974
567	3902	2968
568	3910	2962
569	3917	2955
570	3925	2949
571	3933	2943
572	3940	2936
573	3948	2930
574	3956	2924
575	3963	2917
576	3971	2911
577	3979	2905
578	3985	2898
579	3993	2891
580	4001	2885
581	4008	2878
582	4015	2872
583	4022	2865
584	4029	2858
585	4036	2851
586	4043	2844
587	4050	2838
588	4057	2831
589	4065	2824
590	4072	2818
591	4079	2811
592	4085	2804
593	4093	2798
594	4099	2790
595	4105	2782
596	4111	2775
597	4119	2769
598	4126	2762
599	4132	2754
600	4138	2747
601	4144	2740
602	4151	2733
603	4157	2725
604	4163	2718
605	4169	2710
606	4175	2703
607	4181	2696
608	4187	2688
609	4194	2681
610	4199	2673
611	4206	2666
612	4211	2659
613	4218	2651
614	4225	2644
615	4231	2637
616	4237	2630
617	4243	2623
618	4249	2615
619	4256	2608
620	4262	2601
621	4269	2594
622	4276	2587
623	4282	2580
624	4288	2572
625	4294	2565
626	4300	2558
627	4306	2550
628	4312	2543
629	4319	2536
630	4325	2529
631	4331	2522
632	4337	2514
633	4343	2507
634	4349	2500
635	4355	2492
636	4361	2485
637	4376	2483
638	4382	2475
639	4388	2468
640	4395	2461
641	4401	2454
642	4407	2447
643	4414	2440
644	4420	2433
645	4426	2425
646	4432	2418
647	4438	2411
648	4444	2403
649	4450	2396
650	4458	2390
651	4464	2382
652	4470	2375
653	4476	2368
654	4483	2361
655	4488	2353
656	4495	2347
657	4501	2339
658	4507	2332
659	4513	2325
660	4520	2318
661	4527	2311
662	4533	2304
663	4539	2296
664	4545	2289
665	4551	2282
666	4557	2275
667	4563	2267
668	4569	2260
669	4575	2253
670	4581	2246
671	4586	2238
672	4592	2231
673	4599	2224
674	4605	2217
675	4613	2211
676	4619	2204
677	4627	2197
678	4633	2190
679	4639	2183
680	4645	2176
681	4652	2169
682	4657	2161
683	4664	2154
684	4670	2147
685	4676	2140
686	4682	2133
687	4688	2126
688	4694	2118
689	4700	2111
690	4706	2104
691	4713	2097
692	4719	2090
693	4724	2083
694	4730	2076
695	4736	2068
696	4743	2062
697	4749	2054
698	4755	2047
699	4761	2040
700	4767	2033
701	4773	2026
702	4779	2019
703	4785	2012
704	4791	2004
705	4798	1998
706	4804	1991
707	4810	1984
708	4817	1977
709	4823	1970
710	4829	1963
711	4835	1956
712	4842	1949
713	4847	1941
714	4853	1934
715	4859	1927
716	4865	1920
717	4871	1913
718	4877	1906
719	4884	1899
720	4891	1892
721	4897	1885
722	4903	1878
723	4909	1871
724	4915	1864
725	4921	1857
726	4927	1850
727	4933	1843
728	4940	1836
729	4946	1829
730	4952	1822
731	4958	1815
732	4965	1808
733	4971	1801
734	4978	1795
735	4985	1788
736	4991	1781
737	4999	1774
738	5007	1768
739	5015	1762
740	5022	1755
741	5030	1749
742	5037	1742
743	5044	1735
744	5051	1729
745	5058	1722
746	5065	1715
747	5072	1709
748	5079	1702
749	5086	1695
750	5094	1689
751	5101	1682
752	5107	1675
753	5114	1668
754	5122	1662
755	5129	1655
756	5136	1648
757	5145	1642
758	5154	1636
759	5161	1630
760	5170	1623
761	5178	1617
762	5186	1611
763	5194	1604
764	5201	1597
765	5208	1591
766	5215	1584
767	5221	1577
768	5228	1570
769	5235	1563
770	5243	1557
771	5249	1550
772	5256	1543
773	5262	1536
774	5270	1530
775	5277	1523
776	5284	1516
777	5291	1509
778	5297	1502
779	5304	1496
780	5311	1489
781	5317	1482
782	5324	1475
783	5330	1468
784	5337	1461
785	5344	1455
786	5350	1448
787	5356	1440
788	5362	1434
789	5369	1427
790	5378	1421
791	5384	1414
792	5391	1407
793	5397	1400
794	5403	1393
795	5411	1386
796	5422	1381
797	5428	1374
798	5434	1367
799	5441	1360
800	5447	1353
801	5457	1347
802	5463	1340
803	5469	1333
804	5476	1326
805	5482	1319
806	5489	1312
807	5496	1306
808	5502	1299
809	5508	1292
810	5514	1285
811	5520	1278
812	5526	1271
813	5533	1264
814	5539	1257
815	5544	1250
816	5551	1243
817	5556	1236
818	5562	1229
819	5568	1222
820	5574	1215
821	5580	1208
822	5587	1201
823	5593	1194
824	5600	1187
825	5608	1181
826	5616	1174
827	5624	1168
828	5631	1161
829	5639	1155
830	5647	1148
831	5654	1141
832	5661	1134
833	5668	1128
834	5676	1121
835	5683	1114
836	5690	1108
837	5697	1101
838	5704	1094
839	5711	1087
840	5718	1081
841	5725	1074
842	5732	1067
843	5739	1060
844	5747	1054
845	5755	1047
846	5762	1040
847	5770	1034
848	5777	1027
849	5783	1020
850	5790	1013
851	5795	1006
852	5805	1000
853	5811	993
854	5818	986
855	5824	979
856	5830	972
857	5836	965
858	5843	959
859	5849	952
860	5856	945
861	5863	938
862	5869	931
863	5875	924
864	5881	917
865	5887	911
866	5893	904
867	5900	897
868	5906	890
869	5912	883
870	5918	876
871	5926	870
872	5932	863
873	5940	856
874	5946	849
875	5952	842
876	5958	835
877	5964	828
878	5971	821
879	5976	815
880	5982	808
881	5989	801
882	5995	794
883	6003	787
884	6010	780
885	6016	774
886	6023	767
887	6031	760
888	6038	753
889	6045	747
890	6050	740
891	6058	733
892	6064	726
893	6071	719
894	6078	713
895	6084	706
896	6090	699
897	6096	692
898	6102	685
899	6109	678
900	6115	671
901	6121	665
902	6128	658
903	6133	651
904	6140	644
905	6146	637
906	6152	630
907	6158	624
908	6164	617
909	6170	610
910	6177	603
911	6185	596
912	6192	590
913	6198	583
914	6204	576
915	6210	569
916	6216	562
917	6223	555
918	6229	549
919	6236	542
920	6243	535
921	6249	528
922	6255	521
923	6261	515
924	6267	508
925	6274	501
926	6280	494
927	6289	487
928	6294	481
929	6301	474
930	6306	467
931	6313	460
932	6319	453
933	6325	446
934	6331	440
935	6337	433
936	6343	426
937	6349	419
938	6355	412
939	6361	406
940	6368	399
941	6374	392
942	6380	385
943	6386	378
944	6392	372
945	6398	365
946	6404	358
947	6410	351
948	6416	344
949	6422	338
950	6428	331
951	6434	324
952	6440	317
953	6446	310
954	6452	304
955	6458	297
956	6465	290
957	6471	283
958	6476	276
959	6483	270
960	6489	263
961	6495	256
962	6501	249
963	6507	243
964	6515	236
965	6521	229
966	6527	222
967	6533	215
968	6539	209
969	6545	202
970	6551	195
971	6557	188
972	6566	182
973	6572	175
974	6579	168
975	6585	161
976	6591	155
977	6597	148
978	6604	141
979	6610	134
980	6616	128
981	6623	121
982	6628	114
983	6635	107
984	6641	101
985	6647	94
986	6653	87
987	6659	80
988	6665	74
989	6672	67
990	6678	60
991	6685	53
992	6691	47
993	6697	40
994	6703	33
995	6709	26
996	6715	20
997	6721	13
998	6727	6
999	6732	0
